"company_name_storage","company_id_storage","company_type_storage","naics_code_storage","naics_code_description_storage","chemical_name_storage","hazardous_ingredient_storage","average_amount_storage","maximum_amount_storage","storage_method_storage","hazardous_class_description_storage","in_storage","key","address"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","RECOVER","DIMETHOXANE","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Combustible Material",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","RHEOMAC VMA 358","3,5,7-TRIAZA-1-AZONIATRICYCLO","200-499","500-999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","RIGHT OFF 650","PHOSPHORIC ACID","500-999","500-999","TOTEBIN","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","USED OIL","LUBRCATING OILS USED","500-999","500-999","STEEL DRUM","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","WRDA-64","TRIETHANOLAMINE","1,000-4,999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","ASPHALT EMULSION","ASPHALT","10,000-49,999","10,000-49,999","ABOVEGROUND TANK","Combustible Material",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","V-MAR 3","METHYL ISOTHIOCYANATE","500-999","500-999","TOTEBIN","Chronic Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","DARASET 400","CALCIUM NITRATE","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","SOY RESPONSE","ALKYL (C16-C18) METHYL ESTERS","200-499","500-999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","PS-1466","ETHYLENEDIAMINE","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","HIGH CALCIUM HYDRATED LIME","CALCIUM HYDROXIDE","50,000-99,999","50,000-99,999","SILO","Corrosive Material",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","CALCIUM CHLORIDE","CALCIUM CHLORIDE","1,000-4,999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","AVALANCHE","NONE LISTED ON MSDS","500-999","500-999","TOTEBIN","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","RIGHT SHINE","NONE LISTED ON MSDS","500-999","500-999","TOTEBIN","Miscellaneous Hazardous Material",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","DARACEM 55","CALCIUM NITRATE","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","DARAVAIR","SODIUM HYDROXIDE","1,000-4,999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Corrosive Material",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"KNIFE RIVER",87963,"READY MIX CONCRETE-ASPHALT BATCH PLANT",327390,"OTHER CONCRETE PRODUCT MFG","DELVO STABILIZER","PHOSPHONIC ACID ((NITRILOTRIS(METHYLENE","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-0101","5700 NE SUNDIAL RD, TROUTDALE, OR 97060"
"ROSS ISLAND SAND & GRAVEL CO",4699,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","GLENIUM 3030 NS","NONE LISTED ON MSDS","500-999","1,000-4,999","ABOVEGROUND TANK","Combustible Material",1,"26-1944","1835 N MARINE DR, PORTLAND, OR 97217"
"ROSS ISLAND SAND & GRAVEL CO",4699,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","MB AE 90","NONE LISTED ON SDS","500-999","1,000-4,999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-1944","1835 N MARINE DR, PORTLAND, OR 97217"
"ROSS ISLAND SAND & GRAVEL CO",4699,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","POZZOLITH 200 N","TRIETHANOLAMINE","500-999","1,000-4,999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-1944","1835 N MARINE DR, PORTLAND, OR 97217"
"ROSS ISLAND SAND & GRAVEL CO",4699,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","POZZOLITH NC534","CALCIUM NITRATE, TETRAHYDRATE","500-999","1,000-4,999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-1944","1835 N MARINE DR, PORTLAND, OR 97217"
"ROSS ISLAND SAND & GRAVEL CO",4699,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","SLAG CEMENT","CALCIUM OXIDE","10,000-49,999","50,000-99,999","SILO","Acute Health Hazard",1,"26-1944","1835 N MARINE DR, PORTLAND, OR 97217"
"ROSS ISLAND SAND & GRAVEL CO",4699,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","CEMENT","PORTLAND CEMENT","100,000-249,999","100,000-249,999","SILO","Acute Health Hazard",1,"26-1944","1835 N MARINE DR, PORTLAND, OR 97217"
"ROSS ISLAND SAND & GRAVEL CO",4699,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","DELVO STABILIZER","PHOSPHONIC ACID ((NITRILOTRIS(METHYLENE","200-499","500-999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"26-1944","1835 N MARINE DR, PORTLAND, OR 97217"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","GLENIUM 3030 NS","NONE LISTED ON MSDS","500-999","1,000-4,999","ABOVEGROUND TANK","Combustible Material",1,"26-1946","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","MB AE 90","NONE LISTED ON SDS","500-999","1,000-4,999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-1946","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","POZZOLITH 200 N","TRIETHANOLAMINE","500-999","1,000-4,999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-1946","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","POZZOLITH NC534","CALCIUM NITRATE, TETRAHYDRATE","500-999","1,000-4,999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-1946","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","SLAG CEMENT","CALCIUM OXIDE","50,000-99,999","50,000-99,999","SILO","Acute Health Hazard",1,"26-1946","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","CEMENT","PORTLAND CEMENT","100,000-249,999","100,000-249,999","SILO","Acute Health Hazard",1,"26-1946","1208 N RIVER ST, PORTLAND, OR 97227"
"ROSS ISLAND SAND & GRAVEL CO",4701,"CONCRETE",327390,"OTHER CONCRETE PRODUCT MFG","DELVO STABILIZER","PHOSPHONIC ACID ((NITRILOTRIS(METHYLENE","200-499","500-999","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard",1,"26-1946","1208 N RIVER ST, PORTLAND, OR 97227"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","ECLIPSE FLOOR","DIPROP GLY TERT-BUTYL ETHE","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Combustible Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","FIBERMESH","POLYPROPYLENE","1,000-4,999","5,000-9,999","BOX","Miscellaneous Hazardous Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","FLY ASH","SILICON DIOXIDE","100,000-249,999","100,000-249,999","SILO","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","HYDRAULIC OIL","BASE LUBRICATING OILS","200-499","500-999","TANK INSIDE BUILDING","Combustible Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","HYDROTINT LIQUID BLACK","CARBON BLACK","200-499","500-999","TOTEBIN","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","HYDROTINT LIQUID IRON OXIDE BLACK","IRON OXIDE","200-499","500-999","TOTEBIN","Miscellaneous Hazardous Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","HYDROTINT LIQUID IRON OXIDE RED","IRON OXIDE","200-499","500-999","TOTEBIN","Miscellaneous Hazardous Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","HYDROTINT LIQUID IRON OXIDE YELLOW","IRON OXIDE","200-499","500-999","TOTEBIN","Miscellaneous Hazardous Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","MB AE 90","NONE LISTED ON SDS","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Miscellaneous Hazardous Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","POLYHEED 997","SODIUM NITRATE","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","POZZOLITH 100XR","REDUCING AGENTS","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Miscellaneous Hazardous Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","RECOVER","DIMETHOXANE","200-499","500-999","TANK INSIDE BUILDING","Combustible Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","RHEOBUILD 1000","NONE LISTED ON MSDS","500-999","1,000-4,999","TANK INSIDE BUILDING","Miscellaneous Hazardous Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","USED OIL","LUBRCATING OILS USED","200-499","500-999","TANK INSIDE BUILDING","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","WRDA-64","TRIETHANOLAMINE","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","SLAG CEMENT","CALCIUM OXIDE","50,000-99,999","100,000-249,999","SILO","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","READY-MIX TRUCK WASH AND WAX","NONE AS PER 29CFR PART 1910.1200","200-499","500-999","PLASTIC OR NON-METALLIC DRUM","Miscellaneous Hazardous Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","DARASET 400","CALCIUM NITRATE","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","ADVA FLEX","5-CHLORO-2-METHYL-2H-ISOTHIAZOL-3-ONE","500-999","1,000-4,999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","DARACCEL","CALCIUM CHLORIDE","1,000-4,999","5,000-9,999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","HYCRETE W1000","NONE LISTED ON MSDS","1,000-4,999","1,000-4,999","TOTEBIN","Miscellaneous Hazardous Material",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","KIM POWDER","PORTLAND CEMENT","500-999","1,000-4,999","PLASTIC BOTTLE, JUG, BUCKET","Chronic Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","CALTITE","AMMONIUM HYDROXIDE","200-499","1,000-4,999","STEEL DRUM","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","CEMENT","PORTLAND CEMENT","250,000-499,999","250,000-499,999","SILO","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","DARACEM 55","CALCIUM NITRATE","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"GLACIER NORTHWEST INC",21201,"READYMIX PRODUCER",327320,"READY-MIX CONCRETE MFG","DARAVAIR-1000","RESIN/ROSIN ACID SALTS","500-999","500-999","TANK INSIDE BUILDING","Acute Health Hazard",1,"26-3265","5034 NW FRONT AVE, PORTLAND, OR 97210"
"ALSCO",46824,"INDUSTRIAL LAUNDRY SERVICE",812332,"IND LAUNDERERS","CALCIUM CHLORIDE","CALCIUM CHLORIDE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"26-0011","5225 SE 26TH AVE, PORTLAND, OR 97202"
"ARAMARK UNIFORM SERVICES INC",18967,"UNIFORM & LINEN RENTAL",812332,"IND LAUNDERERS","OXALIC ACID","OXALIC ACID ANHYDROUS","500-999","500-999","BAG","Corrosive Material",1,"26-0092","1848 NW 23RD AVE, PORTLAND, OR 97210"
"ARAMARK UNIFORM SERVICES INC",18967,"UNIFORM & LINEN RENTAL",812332,"IND LAUNDERERS","ROCK SALT","SODIUM CHLORIDE","10,000-49,999","10,000-49,999","BAG","Acute Health Hazard",1,"26-0092","1848 NW 23RD AVE, PORTLAND, OR 97210"
"ARAMARK UNIFORM SERVICES INC",18967,"UNIFORM & LINEN RENTAL",812332,"IND LAUNDERERS","WASTE SLUDGE OIL DIRT","VARIOUS","1,000-4,999","5,000-9,999","ABOVEGROUND TANK","Combustible Material",1,"26-0092","1848 NW 23RD AVE, PORTLAND, OR 97210"
"ARAMARK UNIFORM SERVICES INC",18967,"UNIFORM & LINEN RENTAL",812332,"IND LAUNDERERS","SULFURIC ACID","SULFURIC ACID","200-499","200-499","PLASTIC OR NON-METALLIC DRUM","Reactive Material",1,"26-0092","1848 NW 23RD AVE, PORTLAND, OR 97210"
"ARAMARK UNIFORM SERVICES INC",18967,"UNIFORM & LINEN RENTAL",812332,"IND LAUNDERERS","TURBO FLEX D","NONYLPHENOL ETHOXYLATE","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Acute Health Hazard",1,"26-0092","1848 NW 23RD AVE, PORTLAND, OR 97210"
"ARAMARK UNIFORM SERVICES INC",18967,"UNIFORM & LINEN RENTAL",812332,"IND LAUNDERERS","TURBOTEX","SODIUM THIOSULFATE","50-199","500-999","PLASTIC OR NON-METALLIC DRUM","Miscellaneous Hazardous Material",1,"26-0092","1848 NW 23RD AVE, PORTLAND, OR 97210"
"ARAMARK UNIFORM SERVICES INC",18967,"UNIFORM & LINEN RENTAL",812332,"IND LAUNDERERS","ARACLEAR CL 4005","POLYDIMETHYLDIALLYLAMMONIUM CHLORIDE","500-999","1,000-4,999","ABOVEGROUND TANK","Miscellaneous Hazardous Material",1,"26-0092","1848 NW 23RD AVE, PORTLAND, OR 97210"
"ARAMARK UNIFORM SERVICES INC",18967,"UNIFORM & LINEN RENTAL",812332,"IND LAUNDERERS","BLEACH","SODIUM HYPOCHLORITE","500-999","500-999","ABOVEGROUND TANK","Oxidizers",1,"26-0092","1848 NW 23RD AVE, PORTLAND, OR 97210"
"ARAMARK UNIFORM SERVICES INC",18967,"UNIFORM & LINEN RENTAL",812332,"IND LAUNDERERS","E-MAX ALKALI","SODIUM HYDROXIDE","10,000-49,999","50,000-99,999","TANK INSIDE BUILDING","Acute Health Hazard",1,"26-0092","1848 NW 23RD AVE, PORTLAND, OR 97210"
"KROGER",17365,"FLUID MILK PROCESSING BOTTLING  ICE PRODUCTION  WATER BOTTLING",311511,"FLUID MILK MFG","FORTIFLEX POLYETHYLENE","POLYETHYLENE HOMOPOLYMER","50,000-99,999","50,000-99,999","SILO","Combustible Material",1,"26-0141","4950 N BASIN AVE, PORTLAND, OR 97217"
"KROGER",17365,"FLUID MILK PROCESSING BOTTLING  ICE PRODUCTION  WATER BOTTLING",311511,"FLUID MILK MFG","LIQUID 90","SODIUM HYDROXIDE","500-999","500-999","TANK INSIDE BUILDING","Oxidizers",1,"26-0141","4950 N BASIN AVE, PORTLAND, OR 97217"
"KROGER",17365,"FLUID MILK PROCESSING BOTTLING  ICE PRODUCTION  WATER BOTTLING",311511,"FLUID MILK MFG","MIKRON","TRIETHANOLAMINE","500-999","500-999","TANK INSIDE BUILDING","Acute Health Hazard",1,"26-0141","4950 N BASIN AVE, PORTLAND, OR 97217"
"KROGER",17365,"FLUID MILK PROCESSING BOTTLING  ICE PRODUCTION  WATER BOTTLING",311511,"FLUID MILK MFG","SULFURIC ACID","SULFURIC ACID","200-499","200-499","TANK INSIDE BUILDING","Reactive Material",1,"26-0141","4950 N BASIN AVE, PORTLAND, OR 97217"
"KROGER",17365,"FLUID MILK PROCESSING BOTTLING  ICE PRODUCTION  WATER BOTTLING",311511,"FLUID MILK MFG","ARM AND HAMMER SUPER WASHING SODA","SODIUM BICARBONATE","500-999","500-999","BOX","Acute Health Hazard",1,"26-0141","4950 N BASIN AVE, PORTLAND, OR 97217"
"KROGER",17365,"FLUID MILK PROCESSING BOTTLING  ICE PRODUCTION  WATER BOTTLING",311511,"FLUID MILK MFG","AC-55-5 RED","NITRIC ACID","200-499","1,000-4,999","TANK INSIDE BUILDING","Reactive Material",1,"26-0141","4950 N BASIN AVE, PORTLAND, OR 97217"
"ALSCO AMERICAN LINEN",19140,"LINEN SUPPLY",812331,"LINEN SUPPLY","ECONOMY SOUR","SODIUM SILICOFLUORIDE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"26-2579","1441 N COLUMBIA BLVD, PORTLAND, OR 97217"
